B1000	Control Panel Communication Error
P1102	Traction Control Ventilation Solenoid Circuit Malfunction
P1103	Turbocharger Wastegate Actuator
P1104	Turbocharger Wastegate Solenoid
P1105	Fuel Pressure Solenoid
P1231	Active Stability Control Plausibility
P1232	Fail Safe System
P1233	Throttle Position Sensor (main) Plausibility
P1234	Throttle Position Sensor (Sub) Plausibility
P1235	Mass Airflow Sensor Plausibility
P1236	A/D Converter
P1237	Accelerator Pedal Position Sensor Plausibility
P1238	Mass Airflow Sensor Plausibility (Torque Monitor)
P1239	Engine RPM Plausibility
P1240	Ignition Angle
P1241	Torque Monitoring
P1242	Fail Safe Control Monitor
P1243	Inquiry/Response Error
P1245	Cycle RAM Test (Engine)
P1247	CVT Plausibility
P1294	Target Idle Speed Not Reached
P1295	TP Sensor 5-Volt Supply Circuit Malfunction
P1296	MAP Sensor 5-Volt Supply Circuit Malfunction
P1297	No Change In MAP From Start to Run
P1300	Ignition Timing Adjustment circuit
P1390	Timing Belt Skipped One Tooth Or More
P1391	Intermittent Loss of CKP or CMP Sensor Signal
P1398	Misfire Adaptive Numerator at Limit
P1400	Manifold Differential Pressure Sensor circuit
P1443	EVAP Purge Control Solenoid 2 Circuit Malfunction
P1486	EVAP Leak Monitor Pinched Hose Detected
P1487	High Speed Condenser Fan Relay Circuit Malfunction
P1489	High Speed Condenser Fan Relay Circuit Malfunction
P1490	Low Speed Fan Relay Circuit Malfunction
P1492	Battery Temperature Sensor High Signal
P1493	Battery Temperature Sensor Low Signal
P1494	EVAP Ventilation Switch Circuit Malfunction
P1495	EVAP Ventilation Solenoid Circuit Malfunction
P1496	5-Volt Supply Output Too Low
P1500	Alternator FR Terminal circuit
P1506	Idle Control System RPM Lower Than Expected At Low Temperature
P1507	Idle Control System RPM Higher Than Expected at Low Temperature
P1530	A/C1 Switch Circuit Intermittent
P1590	TC-SST-ECU To ECM Communication Error In Torque Reduction Request
P1600	Serial Communication Link
P1601	Communication Malfunction (between PCM and Throttle Actuator Control Unit)
P1602	Communication Malfunction (Between PCM Main Processor And System LSI)
P1603	Battery Backup Line Malfunction
P1610	Immobilizer System Malfunction
P1637	EEPROM System (DTC Storing Malfunction) (TC-SST)
P1676	Coding incomplete (TC-SST)
P1696	PCM EEPROM Write Denied
P1697	PCM Malfunction - SRI Miles Not Stored
P1698	No CCD Messages Received From The TCM
P1706	Malfunction of Throttle Signal (CVT)
P1710	Malfunction Of Vehicle Speed Signal (CVT)
P1715	Pulse Generator Assembly
P1720	Pressure Control, Shift Control, TCC Solenoid Circuit Malfunction
P1723	Abnormality In Speed Sensor System Function
P1738	A/T High Temperature Operations Activated
P1740	Malfunction of Lockup/Select Switching Solenoid Valve (CVT)
P1745	Monitoring Of Percentage Change In Pulley Ratio (CVT)
P1750	Solenoid Assembly
P1751	A/T Control Relay
P1773	Malfunction Of ABS (CVT)
P1777	Malfunction of Stepper Motor
P1778	Malfunction of Stepper Motor (CVT)
P1791	Engine Coolant Temperature Level Input circuit
P1795	Throttle Position Input circuit to TCM
P1802	Shift Lever System (LIN communication malfunction)
P1803	Shift Lever System (CAN, LIN Time-out Error)
P1804	Shift Fork Position Sensor 1 and 2 System (Power supply voltage low range out)
P1805	Shift Fork Position Sensor 1 and 2 System (Power supply voltage high range out)
P1806	Shift Fork Position Sensor 3 and 4 System (Power supply voltage low range out)
P1807	Shift Fork Position Sensor 3 and 4 System (Power supply voltage high range out)
P1808	TC-SST-ECU temperature, fluid temperature sensor system (Correlation error)
P180C	Clutch Pressure Cut Spool Sticking
P181B	Clutch 1 (Pressure low range out)
P181C	Clutch 1 (Pressure high range out)
P181E	Clutch 2 (Pressure Low Range Out)
P181F	Clutch 2 (Pressure high range out)
P1820	Shift Fork Position Sensor 1 System (Voltage low range out)
P1821	Shift Fork Position Sensor 1 System (Voltage High Range Out)
P1822	Shift Fork Position Sensor 1 System (Output range out)
P1823	Shift Fork Position Sensor 1 System (Neutral)
P1824	Shift Fork Position Sensor 1 System (Poor Performance)
P1825	Shift Fork Position Sensor 2 System (Voltage low range out)
P1826	Shift Fork Position Sensor 2 System (Voltage high range out)
P1828	Shift Fork Position Sensor 2 System (Neutral)
P1829	Shift Fork Position Sensor 2 System (Poor performance)
P182A	Shift Fork Position Sensor 3 System (Voltage low range out
P182B	Shift Fork Position Sensor 3 System (Voltage High Range Out)
P182C	Shift Fork Position Sensor 3 System (Output range out)
P182D	Shift Fork Position Sensor 3 System (Neutral)
P182E	Shift Fork Position Sensor 3 System (Poor Performance)
P1831	Shift Fork Position Sensor 4 System (Voltage low range out)
P1832	Shift Fork Position Sensor 4 System (Voltage high range out)
P1833	Shift Fork Position Sensor 4 System (Output Range Out)
P1834	Shift Fork Position Sensor 4 System (Neutral)
P1835	Shift Fork Position Sensor 4 System (Poor performance)
P1836	Shift Fork 1 Malfunction
P183D	Shift Fork 2 Malfunction
P1844	Shift Fork 3 Malfunction
P184B	Shift Fork 4 Malfunction
P1852	Shift Fork 1 or 2 opposite direction movement
P1855	Shift Fork 3 or 4 opposite direction movement
P1857	Odd Number Gear Axle Interlock
P1858	Even Number Gear Axle Interlock
P185D	Clutch open not possible
P1862	High side 1 system (Overcurrent)
P1863	High side 1 system (Open circuit)
P1864	High side 1 system (Short to power supply)
P1866	High side 2 system (Overcurrent)
P1867	High side 2 system (Open circuit)
P1868	High side 2 system (Short to power supply)
P186A	High Side 3 System (Overcurrent)
P186B	High side 3 system (Open circuit)
P186C	High side 3 system (Short to power supply)
P186D	High Side 1 System (Voltage Low Range Out)
P186E	High side 2 system (Voltage low range out)
P186F	High side 3 system (Voltage low range out)
P1870	Engine Torque Signal Abnormality
P1871	APS system (Signal abnormality)
P1872	Between shift lever and TC-SST system (Q-A function abnormality)
P1873	Clutch 1 System (Pressure Abnormality)
P1874	Clutch 2 System (Pressure abnormality)
P1875	Damper Speed Sensor System (Poor performance)
P1876	Gear Block 1st
P1877	Gear Block 2nd
P1878	Gear Block 3rd
P1879	Gear Block 4th
P187A	Gear Block 5th
P187B	Gear Block 6th
P187C	Gear Block Reverse
P1880	EOL Mode Active
P1881	Twin Clutch SST Control Mode Switch System (Malfunction)
P1885	Shift Fork 1 Jump Out
P1886	Shift Fork 2 Jump Out
P1887	Shift Fork 3 Jump Out
P1888	Shift Fork 4 Jump Out
P1890	Teach-In Not Completed
P1899	P/N Position/Transaxle Range Switch Circuit Malfunction
P1902	Malfunction Of Engine System
P198D	EEPROM System
P198E	Lever Position Sensor System
P198F	Lever Position Sensor System
U1006	Theft-alarm Siren LIN timeout
U1007	Theft-alarm sensor LIN timeout
U1073	Bus Off
U1102	ABS-ECU Timeout
U1108	Combination Meter Timeout
U1109	ETACS-ECU Timeout
U1110	A/C-ECU Timeout
U1117	Immobilizer-ECU Timeout
U1180	Combination Meter Time-out
U1415	Coding incomplete/fail
U1417	Coding Data Malfunction
U1425	Data Error (TC-SST)
U150B	Column Switch (checksum error)
U1512	Lighting control sensor checksum error
U1514	Bit Error (LIN)
