B1100	Integ. Unit System Error
P1139	Front oxygen (A/F) sensor #1 heater circuit performance/range problem
P1140	Bank 2 and Sensor 1 Oxygen Sensor (front left) Heater Circuit Range/ Performance Problem
P1141	Mass Air Flow Sensor Circuit High Input
P1142	Mass Air Flow Sensor Circuit Low Input
P1143	Pressure Sensor Circuit Low Input
P1144	Pressure Sensor Circuit High Input
P1146	Pressure sensor circuit range/performance problem (high input)
P1150	Front Oxygen Sensor Heater Circuit High Input
P1151	Rear Oxygen Sensor Heater Circuit High Input
P1152	O2 Sensor Range/Performance (Low) (Bank 1 Sensor 1)
P1153	O2 Sensor Circuit Range/Performance (High) (Bank 1 Sensor 1)
P1154	Bank 1 and Sensor 1 Oxygen Sensor (front left) Circuit Range/Performance Problem low Input
P1155	Bank 2 and Sensor 1 Oxygen Sensor (front left) Circuit Range/Performance Problem High Input
P1160	Return Spring Failure
P1207	Air Assist Injector Solenoid Valve Circuit Low Input
P1208	Air Assist Injector Solenoid Valve Circuit high Input
P1230	Fuel pump control unit malfunction
P1244	Wastegate control solenoid valve malfunction (low input)
P1245	Wastegate control solenoid valve malfunction (fail-safe)
P1301	Fire due to increased exhaust temperature
P1312	Exhaust temperature sensor malfunction
P1325	Knock Sensor Circuit Low Input
P1400	Fuel Tank Pressure Control Solenoid Low Input
P1410	Secondary Air Injection System Switching Valve Stuck Open
P1418	Secondary Air Injection System Control “A” Circuit Shorted
P1420	Fuel Tank Pressure Control Solenoid High Input
P1421	Exhaust Gas Recirculation Circuit High Input
P1422	EVAP Purge Control Valve Circuit High Input
P1423	EVAP Vent Control High Input
P1440	Fuel Tank Pressure Control System Low Input
P1441	Fuel Tank Pressure Control System High Input
P1442	Fuel Level Sensor Circuit Range/Perf
P1443	EVAP Control System Vent Control Function Problem
P1445	Air Assist Injector Solenoid Valve malfunction
P1446	Fuel Tank Sensor Control Valve Circuit Low
P1447	Fuel Tank Sensor Control Valve Circuit High
P1448	Fuel Tank Sensor Control Valve Range/Performance
P1449	Evaporative Emission Cont. Sys. Air Filter Clog
P1451	Evaporative Emission Control System (Large Leak Detected)
P1480	Cooling fan relay 1 circuit high input
P1490	Thermostat Malfunction
P1491	Positive Crankcase Ventilation (Blow-by) Function Problem
P1492	EGR Solenoid Valve Signal #1 Circuit Malfunction (low input)
P1493	EGR Solenoid Valve Signal #1 Circuit Malfunction (High Input)
P1494	EGR Solenoid Valve Signal #2 Circuit Malfunction (Low Input)
P1495	EGR Solenoid Valve Signal #2 Circuit Malfunction (High Input)
P1496	EGR Solenoid Valve Signal #3 Circuit Malfunction (Low Input)
P1497	EGR Solenoid Valve Signal #3 Circuit Malfunction (High Input)
P1498	EGR Solenoid Valve Signal #4 Circuit Malfunction (Low Input)
P1499	EGR Solenoid Valve Signal #4 Circuit Malfunction (High Input)
P1500	Radiator Fan Relay 1 Circuit Malfunction
P1501	Idle Control System Malfunction (Fail Safe)
P1502	Radiator Fan Function Problem
P1505	Idle Control System Circuit High Input
P1507	Idle Control System Malfunction (Fail Safe)
P1510	Idle Air Control Solenoid Signal 1 Circuit Low Input
P1511	Idle Air Control Solenoid Signal 1 Circuit High Input
P1512	Idle Air Control Solenoid Signal 2 Circuit Low Input
P1513	Idle Air Control Solenoid Signal 2 Circuit High Input
P1514	Idle Air Control Solenoid Signal 3 Circuit Low Input
P1515	Idle Air Control Solenoid Signal 3 Circuit High Input
P1516	Idle Air Control Solenoid Signal 4 Circuit Low Input
P1517	Idle Air Control Solenoid Signal 4 Circuit High Input
P1518	Starter switch circuit low input
P1520	Radiator Fan Relay 1 Circuit High Input
P1521	Brake Switch Circuit Range
P1530	Battery Current Sensor Circuit Low
P1531	Battery Current Sensor Circuit High
P1532	Battery Charging System
P1540	Vehicle Speed Sensor Malfunction 2
P1544	High exhaust temperature detected
P1560	Back-Up Voltage Circuit Malfunction
P1570	Antenna
P1571	Reference Code Incompatibility
P1572	IMM Circuit Failure (Except Antenna Circuit)
P1574	Key Communication Failure
P1576	EGI Control Module EEPROM
P1577	IMM Control Module EEPROM
P1578	Meter Failure
P1590	Neutral position switch circuit high input
P1591	Neutral position switch circuit low input
P1592	Neutral position switch circuit (MT model)
P1594	Automatic transmission diagnosis input signal circuit malfunction
P1595	Automatic transmission diagnosis input signal circuit low input
P1596	Automatic transmission diagnosis input signal circuit high input
P1602	Control Module Programming Error
P1698	Engine torque control cut signal circuit low input
P1699	Engine torque control cut signal circuit high input
P1700	Throttle Position Sensor Circuit Malfunction (A/T)
P1701	Cruise Control Set Signal Circuit Malfunction (A/T)
P1702	Auto Trans Diagnosis Input Signal Circuit
P1703	Low clutch timing control solenoid valve circuit malfunction
P1704	2-4 Brake Timing Solenoid Valve Circuit Malfunction
P1705	2-4 Brake Pressure Solenoid Valve (Solenoid D) Circuit
P1706	AT Vehicle Speed Sensor Circuit Malfunction (Rear wheel)
P1707	AT AWD Solenoid Valve Circuit Malfunction
P1710	Torque Converter Turbine 2 Speed Signal Circuit Malfunction
P1711	Engine torque control signal 1 circuit malfunction
P1712	Engine torque control signal 2 circuit malfunction
P1718	AT CAN Communication Circuit
P1720	DCCD CAN System Circuit
P1722	Auto Trans Diagnosis Input Signal High Input
P1742	Auto Trans Diagnosis Input Signal Malfunction
P1767	DCCD Steering Angle Sensor
P1769	Yaw Rate & Lateral G Sensor Malfunction
P1817	Sports Mode Switch Circuit (Manual Switch)
P1840	Transmission Fluid Pressure Sensor Switch A Circuit
P1841	Transmission Fluid Pressure Sensor Switch B Circuit
P1842	Transmission Fluid Pressure Sensor Switch C Circuit
P1843	Transmission Fluid Pressure Sensor Switch D Circuit
P1844	Transmission Fluid Pressure Sensor Switch E Circuit
P1875	Circuit of Center Diff
U1201	CAN-HS Counter Abnormal
U1202	CAN-HS Bus Off
U1211	CAN-HS ECM Data Abnormal
U1212	CAN-HS TCM Data Abnormal
U1213	CAN-HS VDC/ABS Data Abnormal
U1221	CAN-HS ECM No-Receive Data
U1222	CAN-HS TCM No-Receive Data
U1223	CAN-HS VDC/ABS No-Receive Data
U1300	CAN-LS Malfunction
U1301	CAN-LS Counter Abnormal
U1302	CAN-LS Bus Off
U1311	CAN-LS Meter Unit Data Abnormal
U1321	CAN-LS Meter No-Receive Data
